test,hr,ci_lo,ci_hi,p,note
Unadjusted stratified Cox,0.844,0.711,1.003,0.054,Primary analysis
Age-adjusted stratified Cox,0.844,0.711,1.002,0.052,Age changes HR by <0.1%
Schoenfeld PH test,,,0.87,0.87,PH assumption holds
Bootstrap (n=500),0.802,0.669,0.942,,Stable across resamples
Permutation (n=500),0.803,,,0.0,Signal not due to chance
Ridge Cox (lambda=0.001),0.844,0.713,1.0,0.049,Penalized
Ridge Cox (lambda=0.01),0.848,0.718,1.002,0.053,Penalized
Ridge Cox (lambda=0.1),0.88,0.76,1.018,0.086,Penalized
Ridge Cox (lambda=0.5),0.937,0.845,1.039,0.218,Penalized
